popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre_acoustic,track_genre_classical,track_genre_country,track_genre_disco,track_genre_funk,track_genre_hip-hop,track_genre_jazz,track_genre_pop,track_genre_rock,track_genre_world-music
71,289.942,0,0.546,0.786,4,-9.486,1,0.212,0.349,1.35e-06,0.109,0.434,99.798,3,0,0,0,0,0,0,0,1,0,0
70,209.23,0,0.73,0.748,6,-4.371,0,0.152,0.0936,0.0,0.282,0.694,155.861,4,0,0,0,0,0,0,0,1,0,0
23,578.68,0,0.397,0.468,5,-8.151,1,0.0521,0.414,0.0,0.0971,0.266,135.012,4,0,0,0,0,0,0,0,0,0,1
65,303.333,0,0.665,0.532,2,-10.793,1,0.0277,0.0889,0.0109,0.296,0.81,117.955,4,0,0,0,1,0,0,0,0,0,0
0,201.893,0,0.683,0.796,11,-4.179,1,0.0284,0.112,0.0,0.197,0.533,90.031,4,0,0,1,0,0,0,0,0,0,0
0,211.682,1,0.732,0.635,1,-7.891,1,0.41,0.493,7.02e-06,0.388,0.581,147.025,4,0,0,0,0,0,1,0,0,0,0
0,245.133,0,0.824,0.766,10,-12.393,0,0.0457,0.223,6.34e-05,0.116,0.724,104.8,4,0,0,0,1,0,0,0,0,0,0
65,451.826,0,0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,4,0,0,0,1,0,0,0,0,0,0
0,131.733,0,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,0,0,0,0,0,0,1,0,0,0
62,385.053,0,0.35,0.25,4,-10.648,0,0.0314,0.698,1.46e-05,0.11,0.11,129.82,4,0,0,0,0,0,0,0,0,0,1
69,213.626,0,0.743,0.655,7,-5.228,0,0.0866,0.0391,0.0,0.118,0.164,91.004,4,0,0,0,0,0,1,0,0,0,0
0,274.746,0,0.494,0.296,8,-12.479,1,0.0344,0.773,0.0,0.14,0.224,128.933,4,0,0,0,1,0,0,0,0,0,0
0,317.28,0,0.886,0.708,4,-5.915,0,0.0911,0.107,0.0114,0.044,0.965,109.976,4,0,0,0,0,0,1,0,0,0,0
69,240.165,0,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,1,0,0,0,0,0,0,0,0,0
0,184.786,0,0.474,0.771,10,-5.719,1,0.0571,0.115,0.0,0.0712,0.898,172.375,4,0,0,1,0,0,0,0,0,0,0
0,193.805,0,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,0,0,0,0,1,0,0,0,0,0
40,1341.746,0,0.64,0.494,0,-8.186,1,0.0592,0.96,0.0,0.0706,0.668,116.006,3,0,1,0,0,0,0,0,0,0,0
0,199.253,0,0.574,0.966,4,-3.034,1,0.0685,0.0141,0.0,0.43,0.788,128.034,4,0,0,0,0,0,0,0,0,1,0
70,238.4,0,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,4,0,0,1,0,0,0,0,0,0,0
0,179.706,0,0.301,0.0692,3,-20.117,1,0.0314,0.912,0.000549,0.335,0.241,81.644,4,0,0,0,0,0,0,1,0,0,0
27,104.306,1,0.682,0.666,0,-4.823,1,0.0381,0.0602,7.99e-05,0.208,0.79,93.992,4,1,0,0,0,0,0,0,0,0,0
47,535.72,0,0.358,0.427,7,-9.18,1,0.0296,0.0976,1.07e-05,0.0849,0.0694,145.891,4,0,0,0,0,0,0,0,0,0,1
0,118.466,1,0.904,0.601,2,-5.561,1,0.198,0.0305,0.0,0.615,0.761,87.037,4,0,0,0,0,0,1,0,0,0,0
1,112.44,0,0.439,0.183,7,-22.146,1,0.0497,0.941,0.0283,0.531,0.702,128.47,4,0,1,0,0,0,0,0,0,0,0
51,236.298,0,0.663,0.26,11,-9.587,1,0.0303,0.865,0.0,0.101,0.243,107.931,4,1,0,0,0,0,0,0,0,0,0
89,240.693,0,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,0,0,0,0,0,1,0,0,0,0
65,231.136,0,0.791,0.348,10,-9.457,1,0.0434,0.594,1.45e-06,0.097,0.49,131.972,4,0,0,0,0,0,0,0,1,0,0
4,158.391,0,0.869,0.726,11,-5.654,0,0.0459,0.0784,0.0,0.107,0.343,124.023,4,0,0,0,0,0,0,0,1,0,0
48,199.263,0,0.754,0.802,9,-6.424,1,0.0551,0.0349,0.0,0.335,0.583,122.026,4,0,0,0,0,0,0,0,0,1,0
1,169.756,0,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872,4,0,0,0,0,0,0,0,1,0,0
0,124.24,0,0.745,0.598,10,-6.053,1,0.0975,0.129,0.0,0.678,0.789,148.906,4,0,0,1,0,0,0,0,0,0,0
61,222.266,0,0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,4,0,0,0,1,0,0,0,0,0,0
29,196.161,1,0.387,0.524,3,-9.633,1,0.0493,0.777,5.74e-06,0.718,0.858,95.623,4,1,0,0,0,0,0,0,0,0,0
67,235.813,0,0.636,0.72,11,-6.195,1,0.0432,0.0893,0.0178,0.0868,0.425,124.944,4,0,0,0,1,0,0,0,0,0,0
88,172.626,1,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,0,0,0,0,0,0,0,1,0,0
46,162.139,1,0.744,0.523,5,-7.926,0,0.276,0.508,0.0,0.0947,0.599,143.982,4,0,0,0,0,1,0,0,0,0,0
68,214.786,0,0.375,0.428,0,-7.387,1,0.029,0.109,0.0,0.105,0.361,78.516,4,0,0,1,0,0,0,0,0,0,0
22,218.536,0,0.746,0.763,9,-7.6,0,0.07,0.00124,0.116,0.338,0.543,108.047,4,0,0,0,1,0,0,0,0,0,0
28,97.581,0,0.161,0.897,10,-22.398,0,0.0804,0.00163,0.92,0.863,0.0247,110.367,4,0,0,0,0,0,0,0,0,0,1
53,310.636,1,0.644,0.517,0,-7.105,1,0.49,0.411,0.0,0.0933,0.532,110.825,5,0,0,0,0,1,0,0,0,0,0
66,292.746,0,0.442,0.574,2,-6.394,1,0.0828,0.273,0.0,0.094,0.308,167.857,4,0,0,0,0,0,0,0,1,0,0
70,232.906,0,0.727,0.714,2,-4.494,1,0.0872,0.0209,0.0,0.153,0.618,164.003,4,0,0,0,0,0,1,0,0,0,0
0,177.173,0,0.469,0.931,0,-4.187,0,0.0563,0.00752,0.0,0.111,0.49,140.059,4,0,0,1,0,0,0,0,0,0,0
47,362.762,0,0.691,0.916,9,-5.313,1,0.117,0.029,0.0,0.121,0.394,133.889,4,0,0,0,0,0,0,1,0,0,0
0,267.733,0,0.611,0.583,1,-14.182,1,0.0668,0.057,0.0195,0.0857,0.877,100.82,4,0,0,0,0,1,0,0,0,0,0
26,149.61,0,0.351,0.109,7,-11.997,0,0.0435,0.879,0.0,0.158,0.64,76.851,4,1,0,0,0,0,0,0,0,0,0
0,245.51,0,0.231,0.158,7,-11.508,1,0.0297,0.745,0.0,0.123,0.204,106.031,3,0,0,0,0,0,0,0,0,1,0
11,303.973,0,0.63,0.462,3,-10.792,1,0.0406,0.849,0.000186,0.125,0.963,84.252,4,0,0,0,0,0,0,0,0,0,1
44,241.005,0,0.511,0.347,1,-8.729,0,0.025,0.726,0.00105,0.375,0.0514,95.088,4,0,0,1,0,0,0,0,0,0,0
47,182.573,0,0.64,0.848,5,-4.172,1,0.0444,0.0103,0.0,0.176,0.639,141.978,4,0,0,0,0,0,0,0,0,0,1
0,167.693,0,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,0,0,1,0,0,0,0,0,0,0
2,271.72,0,0.78,0.725,6,-6.032,1,0.0503,0.288,0.0,0.0851,0.431,100.92,4,0,0,0,0,0,1,0,0,0,0
52,445.533,0,0.639,0.496,1,-6.844,0,0.0375,0.713,0.254,0.0545,0.467,140.394,3,1,0,0,0,0,0,0,0,0,0
0,166.44,0,0.375,0.139,9,-19.789,0,0.0324,0.977,8.61e-06,0.0984,0.0878,75.993,3,0,0,0,0,0,0,1,0,0,0
43,254.608,1,0.629,0.44,7,-5.801,1,0.0624,0.00944,0.0,0.106,0.102,114.905,4,0,0,0,0,1,0,0,0,0,0
55,276.096,0,0.82,0.491,11,-8.562,1,0.28,0.237,0.0,0.102,0.547,120.059,4,0,0,0,0,0,1,0,0,0,0
0,171.91,0,0.438,0.649,2,-10.139,1,0.068,0.179,1.46e-06,0.0676,0.745,178.114,4,0,0,1,0,0,0,0,0,0,0
0,236.906,0,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,0,0,0,0,0,0,0,1,0,0
76,200.658,1,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,4,0,0,0,0,0,1,0,0,0,0
0,201.373,0,0.724,0.566,7,-5.117,1,0.0305,0.617,0.00023,0.234,0.873,131.174,4,0,0,1,0,0,0,0,0,0,0
0,262.586,0,0.532,0.872,0,-3.869,1,0.0636,0.00223,0.0,0.283,0.299,127.959,4,0,0,0,0,0,0,0,0,1,0
0,131.733,0,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,0,0,0,0,0,0,1,0,0,0
